exp,phi_0,dV_ges,eps_0,V_dis_total,status
15mmol_20C,0.000486161,1250.108452,0.299889494,0.012904187797656473,success
15mmol_20C,0.000492233,1249.808619,0.299917072,0.012840706436833917,success
15mmol_20C,0.00048966,1248.349074,0.299807559,0.012845631366549704,success
15mmol_20C,0.000413267,1251.893557,0.300082445,0.013435296203498662,success
15mmol_20C,0.000354726,1248.264315,0.299649999,0.013795869135534515,success
15mmol_20C,0.000308625,1250.009063,0.300016848,0.014197502133502793,success
15mmol_20C,0.000290868,1253.280954,0.300503871,0.014415972243301302,success
15mmol_20C,0.000531412,1257.929749,0.400964588,0.016797128443621856,success
15mmol_20C,0.000491305,1240.129111,0.397832796,0.016683926499027522,success
15mmol_20C,0.000496821,1252.884566,0.399578268,0.01693688366964192,success
15mmol_20C,0.000464331,1255.424561,0.399894434,0.017254857033821923,success
15mmol_20C,0.000409028,1259.034652,0.40126719,0.017844269722659754,success
15mmol_20C,0.000374441,1252.694192,0.400437069,0.018027213029955084,success
15mmol_20C,0.000338259,1243.468176,0.399609723,0.018156576868710902,success
15mmol_20C,0.000559331,1247.756613,0.499773087,0.02020204896030972,success
15mmol_20C,0.000561497,1255.361754,0.49969234,0.020355721731492735,success
15mmol_20C,0.000568529,1247.271699,0.499999122,0.020143833604682082,success
15mmol_20C,0.000559931,1251.188594,0.500001055,0.020298319230135378,success
15mmol_20C,0.000494634,1225.59216,0.502358712,0.020475402805026605,success
15mmol_20C,0.000463932,1249.59018,0.499609596,0.02114858259912665,success
15mmol_20C,0.000334135,368.572606,0.586940238,0.005331977107334902,success
15mmol_30C,0.000427091,751.7522531,0.300595785,0.005642202451562319,success
15mmol_30C,0.000431491,749.9286955,0.300798818,0.005605884140273204,success
15mmol_30C,0.00039098,750.8672362,0.3009275,0.005786654543424112,success
15mmol_30C,0.000339183,744.8778032,0.298194638,0.005881784870631778,success
15mmol_30C,0.000296275,745.5112461,0.299966496,0.006125368292053293,success
15mmol_30C,0.000276036,749.8052392,0.299224446,0.006266370401086821,success
15mmol_30C,0.000264763,744.8717235,0.299312295,0.006265056543479508,success
